KPI,BatsManID,BowlerID,BatsManName,BowlerName,Runs,RunsThroughExtras,TotalRuns,BallsFaced,StrikeRate,DotBalls,DBPercent,DotBallFrequency,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,BdryFreq,BdryPercent,WicketLost,RPSS
Head To Head,2018-100mb00000000017-5e389774e99c11,2019-100mb00000000220-18a6ceb644c011,Krunal Pandya,Sandeep Sharma,0,1,1,1,100.00,0,100.00,1.00,0,0,0,0,0,0,0.00,0.00,0,0.00
Head To Head,2018-100mb00000000019-80e59e32e99c11,2018-100mb00000000010-b76159ade99b11,KL Rahul,Yuzvendra Chahal,7,0,7,7,100.00,1,14.29,7.00,6,5,1,0,0,0,0.00,0.00,0,1.17
Head To Head,2018-100mb00000000019-80e59e32e99c11,2018-100mb00000000045-f658f1b6f88a11,KL Rahul,Ravichandran Ashwin,20,5,25,11,227.27,1,9.09,11.00,10,6,2,0,1,1,5.50,40.00,0,2.50
Head To Head,2018-100mb00000000019-80e59e32e99c11,2019-100mb00000000066-573f78a31e3711,KL Rahul,Trent Boult,6,0,6,5,120.00,2,40.00,2.50,3,2,0,0,1,0,5.00,66.67,0,2.00
Head To Head,2018-100mb00000000019-80e59e32e99c11,2019-100mb00000000109-5cc123ab449411,KL Rahul,Avesh Khan,5,0,5,5,100.00,0,0.00,0.00,5,5,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000019-80e59e32e99c11,2019-100mb00000000220-18a6ceb644c011,KL Rahul,Sandeep Sharma,3,0,3,5,60.00,2,40.00,2.50,3,3,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2018-100mb00000000019-80e59e32e99c11,2023-100mb00000002806-75b62b2495ca11,KL Rahul,Nandre Burger,17,4,21,11,190.91,5,54.55,1.83,5,1,1,0,2,1,3.67,66.67,0,4.20
Head To Head,2018-100mb00000000023-201fd633e99d11,2018-100mb00000000045-f658f1b6f88a11,Marcus Stoinis,Ravichandran Ashwin,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2018-100mb00000000023-201fd633e99d11,2019-100mb00000000220-18a6ceb644c011,Marcus Stoinis,Sandeep Sharma,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000136-9313d156449c11,2018-100mb00000000010-b76159ade99b11,Nicholas Pooran,Yuzvendra Chahal,17,1,18,10,180.00,4,40.00,2.50,6,3,1,0,0,2,5.00,66.67,0,3.00
