InningsNo,OverNo,BattingTeamID,OutBatsman,OutDesc,BatsmanRuns,BatsmanBalls,OutBatsMan,BatsManRuns,BatsManBalls
1,8,77,Devdutt Padikkal,c Anuj Rawat b Mohammed Siraj,6,11,,,
1,13,77,Marcus Stoinis,c Mayank Dagar b Glenn Maxwell,24,15,,,
1,16,77,Quinton De Kock,c Mayank Dagar b Reece Topley,81,56,,,
1,17,77,Ayush Badoni,c Faf Du Plessis b Yash Dayal,0,3,,,
2,4,19,Virat Kohli,c Devdutt Padikkal b M Siddharth,22,16,,,
2,5,19,Glenn Maxwell,c Nicholas Pooran b Mayank Yadav,0,2,,,
2,5,19,Faf Du Plessis,ro (Devdutt Padikkal),19,13,,,
2,7,19,Cameron Green,b Mayank Yadav,9,9,,,
2,12,19,Anuj Rawat,c Devdutt Padikkal b Marcus Stoinis,11,21,,,
2,14,19,Rajat Patidar,c Devdutt Padikkal b Mayank Yadav,29,21,,,
2,16,19,Dinesh Karthik,c KL Rahul b Naveen-Ul-Haq,4,8,,,
2,17,19,Mahipal Lomror,c Nicholas Pooran b Yash Thakur,33,13,,,
2,17,19,Mayank Dagar,ro (Nicholas Pooran),0,1,,,
2,19,19,Mohammed Siraj,c Nicholas Pooran b Naveen-Ul-Haq,12,8,,,
1,3,13,Rachin Ravindra,c Aiden Markram b Bhuvneshwar Kumar,12,9,,,
1,7,13,Ruturaj Gaikwad,c Abdul Samad b Shahbaz Ahmed,26,21,,,
1,13,13,Shivam Dube,c Bhuvneshwar Kumar b Pat Cummins,45,24,,,
1,14,13,Ajinkya Rahane,c Mayank Markande b Jaydev Unadkat,35,30,,,
1,19,13,Daryl Mitchell,c Abdul Samad b T Natarajan,13,11,,,
2,2,20,Abhishek Sharma,c Ravindra Jadeja b Deepak Chahar,37,11,,,
2,9,20,Travis Head,c Rachin Ravindra b Maheesh Theekshana,31,24,,,
2,13,20,Aiden Markram,lbw Moeen Ali,50,36,,,
2,15,20,Shahbaz Ahmed,lbw Moeen Ali,18,19,,,
1,3,13,Rachin Ravindra,c Aiden Markram b Bhuvneshwar Kumar,12,9,,,
1,7,13,Ruturaj Gaikwad,c Abdul Samad b Shahbaz Ahmed,26,21,,,
1,13,13,Shivam Dube,c Bhuvneshwar Kumar b Pat Cummins,45,24,,,
1,14,13,Ajinkya Rahane,c Mayank Markande b Jaydev Unadkat,35,30,,,
1,19,13,Daryl Mitchell,c Abdul Samad b T Natarajan,13,11,,,
2,2,20,Abhishek Sharma,c Ravindra Jadeja b Deepak Chahar,37,11,,,
2,9,20,Travis Head,c Rachin Ravindra b Maheesh Theekshana,31,24,,,
2,13,20,Aiden Markram,lbw Moeen Ali,50,36,,,
2,15,20,Shahbaz Ahmed,lbw Moeen Ali,18,19,,,
1,4,16,Phil Salt,c Tristan Stubbs b Anrich Nortje,18,12,,,
1,12,16,Sunil Narine,c Rishabh Pant b Mitchell Marsh,85,39,,,
1,13,16,Angkrish Raghuvanshi,c Ishant Sharma b Anrich Nortje,54,27,,,
1,17,16,Shreyas Iyer,c Tristan Stubbs b Khaleel Ahmed,18,11,,,
1,18,16,Rinku Singh,c David Warner b Anrich Nortje,26,7,,,
1,19,16,Andre Russell,b Ishant Sharma,41,19,,,
1,19,16,Ramandeep Singh,c Prithvi Shaw b Ishant Sharma,2,2,,,
2,1,14,Prithvi Shaw,c Varun Chakaravarthy b Vaibhav Arora,10,7,,,
2,2,14,Mitchell Marsh,c Ramandeep Singh b Mitchell Starc,0,2,,,
2,3,14,Abishek Porel,c Sunil Narine b Vaibhav Arora,0,5,,,
2,4,14,David Warner,b Mitchell Starc,18,13,,,
2,12,14,Rishabh Pant,c Shreyas Iyer b Varun Chakaravarthy,55,25,,,
2,12,14,Axar Patel,c Manish Pandey b Varun Chakaravarthy,0,1,,,
2,14,14,Tristan Stubbs,c Mitchell Starc b Varun Chakaravarthy,54,31,,,
2,15,14,Sumit Kumar,c Manish Pandey b Sunil Narine,7,6,,,
2,16,14,Rasikh Salam,c Phil Salt b Vaibhav Arora,1,5,,,
2,17,14,Anrich Nortje,c Shreyas Iyer b Andre Russell,4,6,,,
1,4,16,Phil Salt,c Tristan Stubbs b Anrich Nortje,18,12,,,
1,12,16,Sunil Narine,c Rishabh Pant b Mitchell Marsh,85,39,,,
1,13,16,Angkrish Raghuvanshi,c Ishant Sharma b Anrich Nortje,54,27,,,
1,17,16,Shreyas Iyer,c Tristan Stubbs b Khaleel Ahmed,18,11,,,
1,18,16,Rinku Singh,c David Warner b Anrich Nortje,26,7,,,
1,19,16,Andre Russell,b Ishant Sharma,41,19,,,
1,19,16,Ramandeep Singh,c Prithvi Shaw b Ishant Sharma,2,2,,,
2,1,14,Prithvi Shaw,c Varun Chakaravarthy b Vaibhav Arora,10,7,,,
2,2,14,Mitchell Marsh,c Ramandeep Singh b Mitchell Starc,0,2,,,
2,3,14,Abishek Porel,c Sunil Narine b Vaibhav Arora,0,5,,,
2,4,14,David Warner,b Mitchell Starc,18,13,,,
2,12,14,Axar Patel,c Manish Pandey b Varun Chakaravarthy,0,1,,,
2,12,14,Rishabh Pant,c Shreyas Iyer b Varun Chakaravarthy,55,25,,,
2,14,14,Tristan Stubbs,c Mitchell Starc b Varun Chakaravarthy,54,31,,,
2,15,14,Sumit Kumar,c Manish Pandey b Sunil Narine,7,6,,,
2,16,14,Rasikh Salam,c Phil Salt b Vaibhav Arora,1,5,,,
2,17,14,Anrich Nortje,c Shreyas Iyer b Andre Russell,4,6,,,
1,2,35,Wriddhiman Saha,c Shikhar Dhawan b Kagiso Rabada,11,13,,,
1,8,35,Kane Williamson,c Jonny Bairstow b Harpreet Brar,26,22,,,
1,13,35,Sai Sudharsan,c Jitesh Sharma b Harshal Patel,33,19,,,
1,17,35,Vijay Shankar,c Harpreet Brar b Kagiso Rabada,8,10,,,
2,1,15,Shikhar Dhawan,b Umesh Yadav,1,2,,,
2,5,15,Jonny Bairstow,b Noor Ahmad,22,13,,,
2,7,15,Prabhsimran Singh,c Mohit Sharma b Noor Ahmad,35,24,,,
2,8,15,Sam Curran,c Kane Williamson b Azmatullah Omarzai,5,8,,,
2,12,15,Sikandar Raza,c Wriddhiman Saha b Mohit Sharma,15,16,,,
2,15,15,Jitesh Sharma,c Darshan Nalkande b Rashid Khan,16,8,,,
2,19,15,Ashutosh Sharma,c Rashid Khan b Darshan Nalkande,31,17,,,
1,2,35,Wriddhiman Saha,c Shikhar Dhawan b Kagiso Rabada,11,13,,,
1,8,35,Kane Williamson,c Jonny Bairstow b Harpreet Brar,26,22,,,
1,13,35,Sai Sudharsan,c Jitesh Sharma b Harshal Patel,33,19,,,
1,17,35,Vijay Shankar,c Harpreet Brar b Kagiso Rabada,8,10,,,
2,1,15,Shikhar Dhawan,b Umesh Yadav,1,2,,,
2,5,15,Jonny Bairstow,b Noor Ahmad,22,13,,,
2,7,15,Prabhsimran Singh,c Mohit Sharma b Noor Ahmad,35,24,,,
2,8,15,Sam Curran,c Kane Williamson b Azmatullah Omarzai,5,8,,,
2,12,15,Sikandar Raza,c Wriddhiman Saha b Mohit Sharma,15,16,,,
2,15,15,Jitesh Sharma,c Darshan Nalkande b Rashid Khan,16,8,,,
2,19,15,Ashutosh Sharma,c Rashid Khan b Darshan Nalkande,31,17,,,
1,13,19,Faf Du Plessis,c Jos Buttler b Yuzvendra Chahal,44,33,,,
1,14,19,Glenn Maxwell,b Nandre Burger,1,3,,,
1,17,19,Saurav Chauhan,c Yashasvi Jaiswal b Yuzvendra Chahal,9,6,,,
2,0,18,Yashasvi Jaiswal,c Glenn Maxwell b Reece Topley,0,2,,,
2,14,18,Sanju Samson,c Yash Dayal b Mohammed Siraj,69,42,,,
2,15,18,Riyan Parag,c Virat Kohli b Yash Dayal,4,4,,,
2,16,18,Dhruv Jurel,c Dinesh Karthik b Reece Topley,2,3,,,
1,13,19,Faf Du Plessis,c Jos Buttler b Yuzvendra Chahal,44,33,,,
1,14,19,Glenn Maxwell,b Nandre Burger,1,3,,,
1,17,19,Saurav Chauhan,c Yashasvi Jaiswal b Yuzvendra Chahal,9,6,,,
2,0,18,Yashasvi Jaiswal,c Glenn Maxwell b Reece Topley,0,2,,,
2,14,18,Sanju Samson,c Yash Dayal b Mohammed Siraj,69,42,,,
2,15,18,Riyan Parag,c Virat Kohli b Yash Dayal,4,4,,,
2,16,18,Dhruv Jurel,c Dinesh Karthik b Reece Topley,2,3,,,
1,6,17,Rohit Sharma,b Axar Patel,49,27,,,
1,7,17,Suryakumar Yadav,c Jake Fraser-McGurk b Anrich Nortje,0,2,,,
1,10,17,Ishan Kishan,c & b Axar Patel,42,23,,,
1,12,17,Tilak Varma,c Axar Patel b Khaleel Ahmed,6,5,,,
1,17,17,Hardik Pandya,c Jake Fraser-McGurk b Anrich Nortje,39,33,,,
2,3,14,David Warner,c Hardik Pandya b Romario Shepherd,10,8,,,
2,11,14,Prithvi Shaw,b Jasprit Bumrah,66,40,,,
2,14,14,Abishek Porel,c Tim David b Jasprit Bumrah,41,31,,,
2,15,14,Rishabh Pant,c Hardik Pandya b Gerald Coetzee,1,3,,,
2,18,14,Axar Patel,ro (Mohammad Nabi),8,7,,,
2,19,14,Kumar Kushagra,c Tilak Varma b Gerald Coetzee,0,1,,,
2,19,14,Lalit Yadav,c Ishan Kishan b Gerald Coetzee,3,4,,,
2,19,14,Jhye Richardson,c Rohit Sharma b Gerald Coetzee,2,2,,,
1,6,17,Rohit Sharma,b Axar Patel,49,27,,,
1,7,17,Suryakumar Yadav,c Jake Fraser-McGurk b Anrich Nortje,0,2,,,
1,10,17,Ishan Kishan,c & b Axar Patel,42,23,,,
1,12,17,Tilak Varma,c Axar Patel b Khaleel Ahmed,6,5,,,
1,17,17,Hardik Pandya,c Jake Fraser-McGurk b Anrich Nortje,39,33,,,
2,3,14,David Warner,c Hardik Pandya b Romario Shepherd,10,8,,,
2,11,14,Prithvi Shaw,b Jasprit Bumrah,66,40,,,
2,14,14,Abishek Porel,c Tim David b Jasprit Bumrah,41,31,,,
2,15,14,Rishabh Pant,c Hardik Pandya b Gerald Coetzee,1,3,,,
2,18,14,Axar Patel,ro (Mohammad Nabi),8,7,,,
2,19,14,Kumar Kushagra,c Tilak Varma b Gerald Coetzee,0,1,,,
2,19,14,Lalit Yadav,c Ishan Kishan b Gerald Coetzee,3,4,,,
2,19,14,Jhye Richardson,c Rohit Sharma b Gerald Coetzee,2,2,,,
1,0,77,Quinton De Kock,c Noor Ahmad b Umesh Yadav,6,4,,,
1,2,77,Devdutt Padikkal,c Vijay Shankar b Umesh Yadav,7,7,,,
1,12,77,K L Rahul,c Rahul Tewatia b Darshan Nalkande,33,31,,,
1,14,77,Marcus Stoinis,c B R Sharath b Darshan Nalkande,58,43,,,
1,18,77,Ayush Badoni,c Umesh Yadav b Rashid Khan,20,11,,,
2,5,35,Shubman Gill,b Yash Thakur,19,21,,,
2,7,35,Kane Williamson,c & b Ravi Bishnoi,1,5,,,
2,8,35,B R Sharath,c Ayush Badoni b Krunal Pandya,2,5,,,
2,8,35,Sai Sudharsan,c Ravi Bishnoi b Krunal Pandya,31,20,,,
2,12,35,Darshan Nalkande,c Yash Thakur b Krunal Pandya,12,11,,,
2,14,35,Rashid Khan,c Deepak Hooda b Yash Thakur,0,3,,,
2,14,35,Vijay Shankar,c K L Rahul b Yash Thakur,17,17,,,
2,15,35,Umesh Yadav,c Quinton De Kock b Naveen-Ul-Haq,2,4,,,
2,18,35,Noor Ahmad,c Quinton De Kock b Yash Thakur,4,2,,,
2,18,35,Rahul Tewatia,c Nicholas Pooran b Yash Thakur,30,24,,,
1,0,77,Quinton De Kock,c Noor Ahmad b Umesh Yadav,6,4,,,
1,2,77,Devdutt Padikkal,c Vijay Shankar b Umesh Yadav,7,7,,,
1,12,77,K L Rahul,c Rahul Tewatia b Darshan Nalkande,33,31,,,
1,14,77,Marcus Stoinis,c B R Sharath b Darshan Nalkande,58,43,,,
1,18,77,Ayush Badoni,c Umesh Yadav b Rashid Khan,20,11,,,
2,5,35,Shubman Gill,b Yash Thakur,19,21,,,
2,7,35,Kane Williamson,c & b Ravi Bishnoi,1,5,,,
2,8,35,B R Sharath,c Ayush Badoni b Krunal Pandya,2,5,,,
2,8,35,Sai Sudharsan,c Ravi Bishnoi b Krunal Pandya,31,20,,,
2,12,35,Darshan Nalkande,c Yash Thakur b Krunal Pandya,12,11,,,
2,14,35,Rashid Khan,c Deepak Hooda b Yash Thakur,0,3,,,
2,14,35,Vijay Shankar,c K L Rahul b Yash Thakur,17,17,,,
2,15,35,Umesh Yadav,c Quinton De Kock b Naveen-Ul-Haq,2,4,,,
2,18,35,Rahul Tewatia,c Nicholas Pooran b Yash Thakur,30,24,,,
2,18,35,Noor Ahmad,c Quinton De Kock b Yash Thakur,4,2,,,
1,0,16,Phil Salt,c Ravindra Jadeja b Tushar Deshpande,0,1,,,
1,6,16,Angkrish Raghuvanshi,lbw Ravindra Jadeja,24,18,,,
1,6,16,Sunil Narine,c Maheesh Theekshana b Ravindra Jadeja,27,20,,,
1,8,16,Venkatesh Iyer,c Daryl Mitchell b Ravindra Jadeja,3,8,,,
1,11,16,Ramandeep Singh,b Maheesh Theekshana,13,12,,,
1,16,16,Rinku Singh,b Tushar Deshpande,9,13,,,
1,18,16,Andre Russell,c Daryl Mitchell b Tushar Deshpande,10,9,,,
1,19,16,Shreyas Iyer,c Ravindra Jadeja b Mustafizur Rahman,34,32,,,
1,19,16,Mitchell Starc,c Rachin Ravindra b Mustafizur Rahman,0,3,,,
2,3,13,Rachin Ravindra,c Varun Chakaravarthy b Vaibhav Arora,15,8,,,
2,12,13,Daryl Mitchell,b Sunil Narine,25,19,,,
2,16,13,Shivam Dube,b Vaibhav Arora,28,18,,,
1,0,16,Phil Salt,c Ravindra Jadeja b Tushar Deshpande,0,1,,,
1,6,16,Angkrish Raghuvanshi,lbw Ravindra Jadeja,24,18,,,
1,6,16,Sunil Narine,c Maheesh Theekshana b Ravindra Jadeja,27,20,,,
1,8,16,Venkatesh Iyer,c Daryl Mitchell b Ravindra Jadeja,3,8,,,
1,11,16,Ramandeep Singh,b Maheesh Theekshana,13,12,,,
1,16,16,Rinku Singh,b Tushar Deshpande,9,13,,,
1,18,16,Andre Russell,c Daryl Mitchell b Tushar Deshpande,10,9,,,
1,19,16,Shreyas Iyer,c Ravindra Jadeja b Mustafizur Rahman,34,32,,,
1,19,16,Mitchell Starc,c Rachin Ravindra b Mustafizur Rahman,0,3,,,
2,3,13,Rachin Ravindra,c Varun Chakaravarthy b Vaibhav Arora,15,8,,,
2,12,13,Daryl Mitchell,b Sunil Narine,25,19,,,
2,16,13,Shivam Dube,b Vaibhav Arora,28,18,,,
1,3,20,Aiden Markram,c Jitesh Sharma b Arshdeep Singh,0,2,,,
1,3,20,Travis Head,c Shikhar Dhawan b Arshdeep Singh,21,15,,,
1,4,20,Abhishek Sharma,c Shashank Singh b Sam Curran,16,11,,,
1,9,20,Rahul Tripathi,c Jitesh Sharma b Harshal Patel,11,14,,,
1,13,20,Heinrich Klaasen,c Sam Curran b Harshal Patel,9,9,,,
1,16,20,Nitish Kumar Reddy,c Kagiso Rabada b Arshdeep Singh,64,37,,,
1,16,20,Abdul Samad,c Harshal Patel b Arshdeep Singh,25,12,,,
1,17,20,Pat Cummins,b Kagiso Rabada,3,4,,,
1,19,20,Bhuvneshwar Kumar,c Jonny Bairstow b Sam Curran,6,8,,,
2,1,15,Jonny Bairstow,b Pat Cummins,0,3,,,
2,2,15,Prabhsimran Singh,c Nitish Kumar Reddy b Bhuvneshwar Kumar,4,6,,,
2,4,15,Shikhar Dhawan,st Heinrich Klaasen b Bhuvneshwar Kumar,14,16,,,
2,9,15,Sam Curran,c Pat Cummins b T Natarajan,29,22,,,
2,13,15,Sikandar Raza,c Heinrich Klaasen b Jaydev Unadkat,28,22,,,
2,15,15,Jitesh Sharma,c Abhishek Sharma b Nitish Kumar Reddy,19,11,,,
1,3,20,Aiden Markram,c Jitesh Sharma b Arshdeep Singh,0,2,,,
1,3,20,Travis Head,c Shikhar Dhawan b Arshdeep Singh,21,15,,,
1,4,20,Abhishek Sharma,c Shashank Singh b Sam Curran,16,11,,,
1,9,20,Rahul Tripathi,c Jitesh Sharma b Harshal Patel,11,14,,,
1,13,20,Heinrich Klaasen,c Sam Curran b Harshal Patel,9,9,,,
1,16,20,Nitish Kumar Reddy,c Kagiso Rabada b Arshdeep Singh,64,37,,,
1,16,20,Abdul Samad,c Harshal Patel b Arshdeep Singh,25,12,,,
1,17,20,Pat Cummins,b Kagiso Rabada,3,4,,,
1,19,20,Bhuvneshwar Kumar,c Jonny Bairstow b Sam Curran,6,8,,,
2,1,15,Jonny Bairstow,b Pat Cummins,0,3,,,
2,2,15,Prabhsimran Singh,c Nitish Kumar Reddy b Bhuvneshwar Kumar,4,6,,,
2,4,15,Shikhar Dhawan,st Heinrich Klaasen b Bhuvneshwar Kumar,14,16,,,
2,9,15,Sam Curran,c Pat Cummins b T Natarajan,29,22,,,
2,13,15,Sikandar Raza,c Heinrich Klaasen b Jaydev Unadkat,28,22,,,
2,15,15,Jitesh Sharma,c Abhishek Sharma b Nitish Kumar Reddy,19,11,,,
1,4,18,Yashasvi Jaiswal,c Matthew Wade b Umesh Yadav,24,19,,,
1,5,18,Jos Buttler,c Rahul Tewatia b Rashid Khan,8,10,,,
1,18,18,Riyan Parag,c Vijay Shankar b Mohit Sharma,76,48,,,
2,8,35,Sai Sudharsan,lbw Kuldeep Sen,35,29,,,
2,10,35,Matthew Wade,b Kuldeep Sen,4,6,,,
2,10,35,Abhinav Manohar,b Kuldeep Sen,1,2,,,
2,13,35,Vijay Shankar,b Yuzvendra Chahal,16,10,,,
2,15,35,Shubman Gill,st Sanju Samson b Yuzvendra Chahal,72,44,,,
2,17,35,Shahrukh Khan,lbw Avesh Khan,14,8,,,
2,19,35,Rahul Tewatia,ro (Jos Buttler),22,11,,,
1,4,18,Yashasvi Jaiswal,c Matthew Wade b Umesh Yadav,24,19,,,
1,5,18,Jos Buttler,c Rahul Tewatia b Rashid Khan,8,10,,,
1,18,18,Riyan Parag,c Vijay Shankar b Mohit Sharma,76,48,,,
2,8,35,Sai Sudharsan,lbw Kuldeep Sen,35,29,,,
2,10,35,Matthew Wade,b Kuldeep Sen,4,6,,,
2,10,35,Abhinav Manohar,b Kuldeep Sen,1,2,,,
2,13,35,Vijay Shankar,b Yuzvendra Chahal,16,10,,,
2,15,35,Shubman Gill,st Sanju Samson b Yuzvendra Chahal,72,44,,,
2,17,35,Shahrukh Khan,lbw Avesh Khan,14,8,,,
2,19,35,Rahul Tewatia,ro (Jos Buttler),22,11,,,
1,2,19,Virat Kohli,c Ishan Kishan b Jasprit Bumrah,3,9,,,
1,3,19,Will Jacks,c Tim David b Akash Madhwal,8,6,,,
1,11,19,Rajat Patidar,c Ishan Kishan b Gerald Coetzee,50,26,,,
1,12,19,Glenn Maxwell,lbw Shreyas Gopal,0,4,,,
1,16,19,Faf Du Plessis,c Tim David b Jasprit Bumrah,61,40,,,
1,16,19,Mahipal Lomror,lbw Jasprit Bumrah,0,1,,,
1,18,19,Vyshak Vijaykumar,c Mohammad Nabi b Jasprit Bumrah,0,1,,,
1,18,19,Saurav Chauhan,c Akash Madhwal b Jasprit Bumrah,9,8,,,
2,8,17,Ishan Kishan,c Virat Kohli b Akash Deep,69,34,,,
2,11,17,Rohit Sharma,c Reece Topley b Will Jacks,38,24,,,
2,13,17,Suryakumar Yadav,c Mahipal Lomror b Vyshak Vijaykumar,52,19,,,
1,2,19,Virat Kohli,c Ishan Kishan b Jasprit Bumrah,3,9,,,
1,3,19,Will Jacks,c Tim David b Akash Madhwal,8,6,,,
1,11,19,Rajat Patidar,c Ishan Kishan b Gerald Coetzee,50,26,,,
1,12,19,Glenn Maxwell,lbw Shreyas Gopal,0,4,,,
1,16,19,Mahipal Lomror,lbw Jasprit Bumrah,0,1,,,
1,16,19,Faf Du Plessis,c Tim David b Jasprit Bumrah,61,40,,,
1,18,19,Vyshak Vijaykumar,c Mohammad Nabi b Jasprit Bumrah,0,1,,,
1,18,19,Saurav Chauhan,c Akash Madhwal b Jasprit Bumrah,9,8,,,
2,8,17,Ishan Kishan,c Virat Kohli b Akash Deep,69,34,,,
2,11,17,Rohit Sharma,c Reece Topley b Will Jacks,38,24,,,
2,13,17,Suryakumar Yadav,c Mahipal Lomror b Vyshak Vijaykumar,52,19,,,
1,2,77,Quinton De Kock,lbw Khaleel Ahmed,19,13,,,
1,4,77,Devdutt Padikkal,lbw Khaleel Ahmed,3,6,,,
1,7,77,Nicholas Pooran,b Kuldeep Yadav,0,1,,,
1,7,77,Marcus Stoinis,c Ishant Sharma b Kuldeep Yadav,8,10,,,
1,9,77,K L Rahul,c Rishabh Pant b Kuldeep Yadav,39,22,,,
1,11,77,Deepak Hooda,c David Warner b Ishant Sharma,10,13,,,
1,12,77,Krunal Pandya,c Rishabh Pant b Mukesh Kumar,3,4,,,
2,3,14,David Warner,b Yash Thakur,8,9,,,
2,6,14,Prithvi Shaw,c Nicholas Pooran b Ravi Bishnoi,32,22,,,
2,14,14,Jake Fraser-McGurk,c Arshad Khan b Naveen-Ul-Haq,55,35,,,
2,15,14,Rishabh Pant,st K L Rahul b Ravi Bishnoi,41,24,,,
1,2,77,Quinton De Kock,lbw Khaleel Ahmed,19,13,,,
1,4,77,Devdutt Padikkal,lbw Khaleel Ahmed,3,6,,,
1,7,77,Nicholas Pooran,b Kuldeep Yadav,0,1,,,
1,7,77,Marcus Stoinis,c Ishant Sharma b Kuldeep Yadav,8,10,,,
1,9,77,K L Rahul,c Rishabh Pant b Kuldeep Yadav,39,22,,,
1,11,77,Deepak Hooda,c David Warner b Ishant Sharma,10,13,,,
1,12,77,Krunal Pandya,c Rishabh Pant b Mukesh Kumar,3,4,,,
2,3,14,David Warner,b Yash Thakur,8,9,,,
2,6,14,Prithvi Shaw,c Nicholas Pooran b Ravi Bishnoi,32,22,,,
2,14,14,Jake Fraser-McGurk,c Arshad Khan b Naveen-Ul-Haq,55,35,,,
2,15,14,Rishabh Pant,st K L Rahul b Ravi Bishnoi,41,24,,,
1,1,77,Quinton De Kock,c Sunil Narine b Vaibhav Arora,10,8,,,
1,4,77,Deepak Hooda,c Ramandeep Singh b Mitchell Starc,8,10,,,
1,10,77,K L Rahul,c Ramandeep Singh b Andre Russell,39,26,,,
1,11,77,Marcus Stoinis,c Phil Salt b Varun Chakaravarthy,10,5,,,
1,14,77,Ayush Badoni,c Angkrish Raghuvanshi b Sunil Narine,29,27,,,
1,19,77,Nicholas Pooran,c Phil Salt b Mitchell Starc,45,32,,,
1,19,77,Arshad Khan,b Mitchell Starc,5,4,,,
2,1,16,Sunil Narine,c Marcus Stoinis b Mohsin Khan,6,6,,,
2,3,16,Angkrish Raghuvanshi,c K L Rahul b Mohsin Khan,7,6,,,
1,1,77,Quinton De Kock,c Sunil Narine b Vaibhav Arora,10,8,,,
1,4,77,Deepak Hooda,c Ramandeep Singh b Mitchell Starc,8,10,,,
1,10,77,K L Rahul,c Ramandeep Singh b Andre Russell,39,26,,,
1,11,77,Marcus Stoinis,c Phil Salt b Varun Chakaravarthy,10,5,,,
1,14,77,Ayush Badoni,c Angkrish Raghuvanshi b Sunil Narine,29,27,,,
1,19,77,Nicholas Pooran,c Phil Salt b Mitchell Starc,45,32,,,
1,19,77,Arshad Khan,b Mitchell Starc,5,4,,,
2,1,16,Sunil Narine,c Marcus Stoinis b Mohsin Khan,6,6,,,
2,3,16,Angkrish Raghuvanshi,c K L Rahul b Mohsin Khan,7,6,,,
1,3,15,Atharva Taide,c Kuldeep Sen b Avesh Khan,15,12,,,
1,6,15,Prabhsimran Singh,c Dhruv Jurel b Yuzvendra Chahal,10,14,,,
1,7,15,Jonny Bairstow,c Shimron Hetmyer b Keshav Maharaj,15,19,,,
1,9,15,Sam Curran,c Dhruv Jurel b Keshav Maharaj,6,10,,,
1,12,15,Shashank Singh,c Dhruv Jurel b Kuldeep Sen,9,9,,,
1,16,15,Jitesh Sharma,c Riyan Parag b Avesh Khan,29,24,,,
1,17,15,Liam Livingstone,ro (Tanush Kotian),21,14,,,
1,19,15,Ashutosh Sharma,c Keshav Maharaj b Trent Boult,31,15,,,
2,8,18,Tanush Kotian,b Liam Livingstone,24,31,,,
2,11,18,Yashasvi Jaiswal,c Harshal Patel b Kagiso Rabada,39,28,,,
2,13,18,Sanju Samson,lbw Kagiso Rabada,18,14,,,
2,16,18,Riyan Parag,c Kagiso Rabada b Arshdeep Singh,23,18,,,
2,17,18,Dhruv Jurel,c Shashank Singh b Harshal Patel,6,11,,,
2,18,18,Rovman Powell,c Jitesh Sharma b Sam Curran,11,5,,,
2,18,18,Keshav Maharaj,c Liam Livingstone b Sam Curran,1,2,,,
1,3,15,Atharva Taide,c Kuldeep Sen b Avesh Khan,15,12,,,
1,6,15,Prabhsimran Singh,c Dhruv Jurel b Yuzvendra Chahal,10,14,,,
1,7,15,Jonny Bairstow,c Shimron Hetmyer b Keshav Maharaj,15,19,,,
1,9,15,Sam Curran,c Dhruv Jurel b Keshav Maharaj,6,10,,,
1,12,15,Shashank Singh,c Dhruv Jurel b Kuldeep Sen,9,9,,,
1,16,15,Jitesh Sharma,c Riyan Parag b Avesh Khan,29,24,,,
1,17,15,Liam Livingstone,ro (Tanush Kotian),21,14,,,
1,19,15,Ashutosh Sharma,c Keshav Maharaj b Trent Boult,31,15,,,
2,8,18,Tanush Kotian,b Liam Livingstone,24,31,,,
2,11,18,Yashasvi Jaiswal,c Harshal Patel b Kagiso Rabada,39,28,,,
2,13,18,Sanju Samson,lbw Kagiso Rabada,18,14,,,
2,16,18,Riyan Parag,c Kagiso Rabada b Arshdeep Singh,23,18,,,
2,17,18,Dhruv Jurel,c Shashank Singh b Harshal Patel,6,11,,,
2,18,18,Rovman Powell,c Jitesh Sharma b Sam Curran,11,5,,,
2,18,18,Keshav Maharaj,c Liam Livingstone b Sam Curran,1,2,,,
1,1,13,Ajinkya Rahane,c Hardik Pandya b Gerald Coetzee,5,8,,,
1,7,13,Rachin Ravindra,c Ishan Kishan b Shreyas Gopal,21,16,,,
1,15,13,Ruturaj Gaikwad,c Mohammad Nabi b Hardik Pandya,69,40,,,
1,19,13,Daryl Mitchell,c Mohammad Nabi b Hardik Pandya,17,14,,,
2,7,17,Ishan Kishan,c Shardul Thakur b Matheesha Pathirana,23,15,,,
2,7,17,Suryakumar Yadav,c Mustafizur Rahman b Matheesha Pathirana,0,2,,,
2,13,17,Tilak Varma,c Shardul Thakur b Matheesha Pathirana,31,20,,,
2,15,17,Hardik Pandya,c Ravindra Jadeja b Tushar Deshpande,2,6,,,
2,16,17,Tim David,c Rachin Ravindra b Mustafizur Rahman,13,5,,,
2,17,17,Romario Shepherd,b Matheesha Pathirana,1,2,,,
1,1,13,Ajinkya Rahane,c Hardik Pandya b Gerald Coetzee,5,8,,,
1,7,13,Rachin Ravindra,c Ishan Kishan b Shreyas Gopal,21,16,,,
1,15,13,Ruturaj Gaikwad,c Mohammad Nabi b Hardik Pandya,69,40,,,
1,19,13,Daryl Mitchell,c Mohammad Nabi b Hardik Pandya,17,14,,,
2,7,17,Ishan Kishan,c Shardul Thakur b Matheesha Pathirana,23,15,,,
2,7,17,Suryakumar Yadav,c Mustafizur Rahman b Matheesha Pathirana,0,2,,,
2,13,17,Tilak Varma,c Shardul Thakur b Matheesha Pathirana,31,20,,,
2,15,17,Hardik Pandya,c Ravindra Jadeja b Tushar Deshpande,2,6,,,
2,16,17,Tim David,c Rachin Ravindra b Mustafizur Rahman,13,5,,,
2,17,17,Romario Shepherd,b Matheesha Pathirana,1,2,,,
