InningsNo,OverNo,BattingTeamID,OutBatsman,OutDesc,BatsmanRuns,BatsmanBalls,OutBatsMan,BatsManRuns,BatsManBalls
1,1,19,Faf Du Plessis,c Mitchell Starc b Harshit Rana,8,6,,,
1,8,19,Cameron Green,b Andre Russell,33,21,,,
1,14,19,Glenn Maxwell,c Rinku Singh b Sunil Narine,28,19,,,
1,16,19,Rajat Patidar,c Rinku Singh b Andre Russell,3,4,,,
1,17,19,Anuj Rawat,c Phil Salt b Harshit Rana,3,3,,,
1,19,19,Dinesh Karthik,ro (Phil Salt),20,8,,,
2,6,16,Sunil Narine,b Mayank Dagar,47,22,,,
2,7,16,Phil Salt,c Cameron Green b Vyshak Vijaykumar,30,20,,,
2,15,16,Venkatesh Iyer,c Virat Kohli b Yash Dayal,50,30,,,
1,1,19,Faf Du Plessis,c Mitchell Starc b Harshit Rana,8,6,,,
1,8,19,Cameron Green,b Andre Russell,33,21,,,
1,14,19,Glenn Maxwell,c Rinku Singh b Sunil Narine,28,19,,,
1,16,19,Rajat Patidar,c Rinku Singh b Andre Russell,3,4,,,
1,17,19,Anuj Rawat,c Phil Salt b Harshit Rana,3,3,,,
1,19,19,Dinesh Karthik,ro (Phil Salt),20,8,,,
2,6,16,Sunil Narine,b Mayank Dagar,47,22,,,
2,7,16,Phil Salt,c Cameron Green b Vyshak Vijaykumar,30,20,,,
2,15,16,Venkatesh Iyer,c Virat Kohli b Yash Dayal,50,30,,,
1,1,18,Yashasvi Jaiswal,b Mukesh Kumar,5,7,,,
1,5,18,Sanju Samson,c Rishabh Pant b Khaleel Ahmed,15,14,,,
1,7,18,Jos Buttler,lbw Kuldeep Yadav,11,16,,,
1,13,18,Ravichandran Ashwin,c Tristan Stubbs b Axar Patel,29,19,,,
1,17,18,Dhruv Jurel,b Anrich Nortje,20,12,,,
2,3,14,Ricky Bhui,c Sanju Samson b Nandre Burger,0,2,,,
2,3,14,Mitchell Marsh,b Nandre Burger,23,12,,,
2,11,14,David Warner,c Sandeep Sharma b Avesh Khan,49,34,,,
2,13,14,Rishabh Pant,c Sanju Samson b Yuzvendra Chahal,28,26,,,
2,15,14,Abishek Porel,c Jos Buttler b Yuzvendra Chahal,9,10,,,
1,1,18,Yashasvi Jaiswal,b Mukesh Kumar,5,7,,,
1,5,18,Sanju Samson,c Rishabh Pant b Khaleel Ahmed,15,14,,,
1,7,18,Jos Buttler,lbw Kuldeep Yadav,11,16,,,
1,13,18,Ravichandran Ashwin,c Tristan Stubbs b Axar Patel,29,19,,,
1,17,18,Dhruv Jurel,b Anrich Nortje,20,12,,,
2,3,14,Ricky Bhui,c Sanju Samson b Nandre Burger,0,2,,,
2,3,14,Mitchell Marsh,b Nandre Burger,23,12,,,
2,11,14,David Warner,c Sandeep Sharma b Avesh Khan,49,34,,,
2,13,14,Rishabh Pant,c Sanju Samson b Yuzvendra Chahal,28,26,,,
2,15,14,Abishek Porel,c Jos Buttler b Yuzvendra Chahal,9,10,,,
1,4,20,Mayank Agarwal,c Tim David b Hardik Pandya,11,13,,,
1,7,20,Travis Head,c Naman Dhir b Gerald Coetzee,62,24,,,
1,10,20,Abhishek Sharma,c Naman Dhir b Piyush Chawla,63,22,,,
2,3,17,Ishan Kishan,c Aiden Markram b Shahbaz Ahmed,34,13,,,
2,4,17,Rohit Sharma,c Abhishek Sharma b Pat Cummins,26,12,,,
2,10,17,Naman Dhir,c Pat Cummins b Jaydev Unadkat,30,14,,,
2,14,17,Tilak Varma,c Mayank Agarwal b Pat Cummins,64,33,,,
2,17,17,Hardik Pandya,c Heinrich Klaasen b Jaydev Unadkat,24,20,,,
1,4,20,Mayank Agarwal,c Tim David b Hardik Pandya,11,13,,,
1,7,20,Travis Head,c Naman Dhir b Gerald Coetzee,62,24,,,
1,10,20,Abhishek Sharma,c Naman Dhir b Piyush Chawla,63,22,,,
2,3,17,Ishan Kishan,c Aiden Markram b Shahbaz Ahmed,34,13,,,
2,4,17,Rohit Sharma,c Abhishek Sharma b Pat Cummins,26,12,,,
2,10,17,Naman Dhir,c Pat Cummins b Jaydev Unadkat,30,14,,,
2,14,17,Tilak Varma,c Mayank Agarwal b Pat Cummins,64,33,,,
