KPI,MatchID,BowlerID,BowlerName,StrikerID,BatsManName,TotalRunsConceded,BowlingAverage,TotalLegalBallsBowled,BowlingSR,EconomyRate,DotBallsBowled,ScoringBalls,Ones,Twoes,Threes,Bdry4,Bdry6,Wides,NoBalls,Wickets,RunOutsDone,BowledOutsDone,StumpingsDone,BowlingDotBallPercentage,BowlingDotBallFrequency,BowlingBdryPercentage,BowlingBdryFrequency
Head To Head,1354,2019-100mb00000000229-75a4b0a0516011,Alzarri Joseph,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,6,0.00,4,0.00,9.00,0,4,2,2,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1354,2019-100mb00000000229-75a4b0a0516011,Alzarri Joseph,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,4,0.00,3,0.00,8.00,0,3,2,1,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1354,2019-100mb00000000229-75a4b0a0516011,Alzarri Joseph,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,14,0.00,9,0.00,16.67,1,6,4,0,0,1,1,3,0,0,0,0,0,11.11,9.00,71.43,4.50
Head To Head,1354,2019-100mb00000000229-75a4b0a0516011,Alzarri Joseph,2021-100mb00000000724-7645abdd460011,Rachin Ravindra,9,0.00,4,0.00,15.00,1,3,1,1,0,0,1,1,0,0,0,0,0,25.00,4.00,66.67,4.00
Head To Head,1354,2020-100mb00000000550-247665a42ff311,Cameron Green,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,6,6.00,2,2.00,21.00,1,1,0,0,0,0,1,1,0,1,0,0,0,50.00,2.00,100.00,2.00
Head To Head,1354,2020-100mb00000000550-247665a42ff311,Cameron Green,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,6,0.00,6,0.00,7.00,1,5,4,1,0,0,0,1,0,0,0,0,0,16.67,6.00,0.00,0.00
Head To Head,1354,2020-100mb00000000550-247665a42ff311,Cameron Green,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,1,1.00,2,2.00,3.00,1,1,1,0,0,0,0,0,0,1,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1354,2020-100mb00000000550-247665a42ff311,Cameron Green,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,11,0.00,8,0.00,9.00,2,6,4,0,1,1,0,1,0,0,0,0,0,25.00,4.00,36.36,8.00
Head To Head,1354,2022-100mb00000000978-bc824605a44611,Yash Dayal,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,13,0.00,6,0.00,13.00,2,4,0,2,1,0,1,0,0,0,0,0,0,33.33,3.00,46.15,6.00
Head To Head,1354,2022-100mb00000000978-bc824605a44611,Yash Dayal,2019-100mb00000000102-28e7fca043fc11,Ruturaj Gaikwad,5,5.00,7,7.00,4.29,5,2,1,0,0,1,0,0,0,1,0,0,0,71.43,1.40,80.00,7.00
Head To Head,1354,2022-100mb00000000978-bc824605a44611,Yash Dayal,2021-100mb00000000724-7645abdd460011,Rachin Ravindra,10,0.00,5,0.00,12.00,1,4,2,0,0,2,0,0,0,0,0,0,0,20.00,5.00,80.00,2.50
Head To Head,1354,2022-100mb00000001547-613ed5ea54ee11,Mayank Dagar,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,3,0.00,4,0.00,4.50,1,3,3,0,0,0,0,0,0,0,0,0,0,25.00,4.00,0.00,0.00
Head To Head,1354,2022-100mb00000001547-613ed5ea54ee11,Mayank Dagar,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,3,0.00,8,0.00,2.25,5,3,3,0,0,0,0,0,0,0,0,0,0,62.50,1.60,0.00,0.00
