MatchID,InningsNo,TeamID,PlayerID,PlayerName,Score,FallScore,FallWickets,FallOvers
1440,2,15,2019-100mb00000000137-d774e3d1449c11,Prabhsimran Singh,6/1(0.4),6,1,0.4
1440,2,15,2019-100mb00000000216-33c1188144bd11,Jonny Bairstow,71/2(5.5),71,2,5.5
1440,2,15,2022-100mb00000001426-5cf9b7f5336311,Rilee Rossouw,107/3(8.6),107,3,8.6
1440,2,15,2022-100mb00000001000-d90666b7a44d11,Jitesh Sharma,125/4(10.5),125,4,10.5
1440,2,15,2019-100mb00000000183-f4a991db44b611,Liam Livingstone,126/5(11.2),126,5,11.2
1440,2,15,2019-100mb00000000191-df21803b44b711,Shashank Singh,151/6(13.4),151,6,13.4
1440,2,15,2024-100mb00000003109-b7f98c40df9d11,Ashutosh Sharma,164/7(14.6),164,7,14.6
1440,2,15,2019-100mb00000000138-5bd8fcf6449d11,Sam Curran,170/8(15.3),170,8,15.3
1440,2,15,2019-100mb00000000114-8c98068c449611,Harshal Patel,174/9(16.1),174,9,16.1
1440,2,15,2019-100mb00000000125-2485f88b449911,Arshdeep Singh,181/10(16.6),181,10,16.6
1441,1,35,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,210/1(17.2),210,1,17.2
1441,1,35,2019-100mb00000000062-8fa4884a17f311,Shubman Gill,213/2(17.6),213,2,17.6
1441,1,35,2021-100mb00000000590-85eaa6f291e011,Shahrukh Khan,231/3(19.6),231,3,19.6
1441,2,13,2021-100mb00000000724-7645abdd460011,Rachin Ravindra,2/1(0.6),2,1,0.6
1441,2,13,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,2/2(1.1),2,2,1.1
1441,2,13,2019-100mb00000000102-28e7fca043fc11,Ruturaj Gaikwad,10/3(2.5),10,3,2.5
1441,2,13,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,119/4(12.2),119,4,12.2
1441,2,13,2019-100mb00000000206-501d92f644bb11,Moeen Ali,135/5(14.2),135,5,14.2
1441,2,13,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,165/6(16.4),165,6,16.4
1441,2,13,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,169/7(17.3),169,7,17.3
1441,2,13,2019-100mb00000000075-0984e17e1e4011,Mitchell Santner,169/8(17.5),169,8,17.5
1438,1,14,2024-100mb00000003115-5afd8ccce29e11,Jake Fraser - McGurk,60/1(4.2),60,1,4.2
1438,1,14,2019-100mb00000000268-22e2e3987add11,Shai Hope,68/2(5.1),68,2,5.1
1438,1,14,2019-100mb00000000110-79ae08f5449411,Axar Patel,110/3(9.2),110,3,9.2
1438,1,14,2022-100mb00000001580-2e206f715b5511,Abishek Porel,144/4(12.4),144,4,12.4
1438,1,14,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,150/5(13.5),150,5,13.5
1438,1,14,2019-100mb00000000234-6f2916d37ab711,Gulbadin Naib,195/6(18.4),195,6,18.4
1438,1,14,2022-100mb00000001017-3e376712cc7911,Tristan Stubbs,215/7(19.3),215,7,19.3
1438,1,14,2019-100mb00000000172-1befbbeb44af11,Rasikh Salam,221/8(19.6),221,8,19.6
1438,2,18,2020-100mb00000000533-e895f279639811,Yashasvi Jaiswal,4/1(0.2),4,1,0.2
1438,2,18,2019-100mb00000000182-b78f12ef44b611,Jos Buttler,67/2(5.5),67,2,5.5
1438,2,18,2019-100mb00000000189-ac8c327a44b711,Riyan Parag,103/3(10.6),103,3,10.6
1438,2,18,2019-100mb00000000190-c62cbae544b711,Sanju Samson,162/4(15.4),162,4,15.4
1438,2,18,2024-100mb00000003112-76787b7ddf9f11,Shubham Dubey,180/5(16.4),180,5,16.4
1438,2,18,2023-100mb00000002033-4a1cf416d08711,Donovan Ferreira,181/6(17.1),181,6,17.1
1438,2,18,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,185/7(17.6),185,7,17.6
1438,2,18,2019-100mb00000000329-bee19eaeb1e711,Rovman Powell,194/8(19.2),194,8,19.2
1442,1,16,2022-100mb00000001220-372333e3f9f711,Phil Salt,6/1(0.5),6,1,0.5
1442,1,16,2019-100mb00000000156-a6b6f42c44aa11,Sunil Narine,10/2(1.1),10,2,1.1
1442,1,16,2018-100mb00000000012-ea4c47d2e99b11,Shreyas Iyer,40/3(4.1),40,3,4.1
1442,1,16,2021-100mb00000000584-a3f48c1791dd11,Venkatesh Iyer,77/4(8.1),77,4,8.1
1442,1,16,2019-100mb00000000148-ef59629644a811,Nitish Rana,116/5(11.6),116,5,11.6
1442,1,16,2019-100mb00000000141-e67c41d144a711,Andre Russell,125/6(12.6),125,6,12.6
1442,1,16,2019-100mb00000000152-335aed3d44aa11,Rinku Singh,148/7(15.2),148,7,15.2
1442,2,17,2019-100mb00000000164-8ae075db44ad11,Ishan Kishan,65/1(6.5),65,1,6.5
1442,2,17,2018-100mb00000000006-2cf4bba8e99b11,Rohit Sharma,67/2(7.5),67,2,7.5
1442,2,17,2019-100mb00000000174-619a804244af11,Suryakumar Yadav,87/3(10.5),87,3,10.5
1442,2,17,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,91/4(11.4),91,4,11.4
1442,2,17,2021-100mb00000000636-9e985b64160411,Tim David,92/5(12.1),92,5,12.1
1442,2,17,2022-100mb00000001541-e0ad58e954e911,Nehal Wadera,117/6(13.6),117,6,13.6
1442,2,17,2024-100mb00000003107-805cae57df9b11,Naman Dhir,136/7(15.1),136,7,15.1
1442,2,17,2022-100mb00000000993-60c58f9ea44c11,Tilak Varma,137/8(15.3),137,8,15.3
1439,1,77,2019-100mb00000000170-9429250944ae11,Quinton De Kock,13/1(2.1),13,1,2.1
1439,1,77,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,21/2(4.2),21,2,4.2
1439,1,77,2018-100mb00000000019-80e59e32e99c11,K L Rahul,57/3(9.6),57,3,9.6
1439,1,77,2018-100mb00000000017-5e389774e99c11,Krunal Pandya,66/4(11.2),66,4,11.2
0,0,0,0,0,0,0,0,0
1443,1,18,2020-100mb00000000533-e895f279639811,Yashasvi Jaiswal,43/1(6.2),43,1,6.2
1443,1,18,2019-100mb00000000182-b78f12ef44b611,Jos Buttler,49/2(8.1),49,2,8.1
1443,1,18,2019-100mb00000000190-c62cbae544b711,Sanju Samson,91/3(14.2),91,3,14.2
1443,1,18,2022-100mb00000001004-da6e207ea44e11,Dhruv Jurel,131/4(19.1),131,4,19.1
1443,1,18,2024-100mb00000003112-76787b7ddf9f11,Shubham Dubey,131/5(19.2),131,5,19.2
1443,2,13,2021-100mb00000000724-7645abdd460011,Rachin Ravindra,32/1(3.4),32,1,3.4
1443,2,13,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,67/2(7.5),67,2,7.5
