MatchID,BattingTeamID,InningsNo,StrikerID,Striker,NonStrikerID,PartnershipTotal,StrikerRuns,StrikerBalls,Extras,NonStrikerRuns,NonStrikerBalls,MatchMaxOver,MatchMinOver,NonStriker,@I := 0,RowNumber
1421,13,1,2019-100mb00000000102-28e7fca043fc11,Ruturaj Gaikwad,2019-100mb00000000083-a7fea83029c211,45,34,16,0,11,10,5.2,1.1,Daryl Mitchell,0,4
1421,13,1,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,2019-100mb00000000102-28e7fca043fc11,52,16,19,2,34,20,11.5,5.3,Ruturaj Gaikwad,0,5
1421,13,1,2019-100mb00000000102-28e7fca043fc11,Ruturaj Gaikwad,2018-100mb00000000046-06b5ba89f88b11,52,34,20,2,16,19,11.5,5.3,Ravindra Jadeja,0,6
1421,13,1,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,2019-100mb00000000102-28e7fca043fc11,104,66,27,2,36,20,19.4,11.6,Ruturaj Gaikwad,0,7
1421,13,1,2019-100mb00000000102-28e7fca043fc11,Ruturaj Gaikwad,2019-100mb00000000211-dc1f6a2544bb11,104,36,20,2,66,27,19.4,11.6,Shivam Dube,0,8
1421,13,1,2019-100mb00000000102-28e7fca043fc11,Ruturaj Gaikwad,2019-100mb00000000057-57100cf415ba11,5,1,1,0,4,1,19.6,19.5,MS Dhoni,0,9
1421,13,1,2019-100mb00000000057-57100cf415ba11,MS Dhoni,2019-100mb00000000102-28e7fca043fc11,5,4,1,0,1,1,19.6,19.5,Ruturaj Gaikwad,0,10
1421,77,2,2018-100mb00000000019-80e59e32e99c11,K L Rahul,2019-100mb00000000170-9429250944ae11,0,0,0,0,0,3,0.3,0.1,Quinton De Kock,0,1
1421,77,2,2019-100mb00000000170-9429250944ae11,Quinton De Kock,2018-100mb00000000019-80e59e32e99c11,0,0,3,0,0,0,0.3,0.1,K L Rahul,0,2
1421,77,2,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,2018-100mb00000000019-80e59e32e99c11,33,16,11,1,16,14,4.4,0.4,K L Rahul,0,3
1421,77,2,2018-100mb00000000019-80e59e32e99c11,K L Rahul,2018-100mb00000000023-201fd633e99d11,33,16,14,1,16,11,4.4,0.4,Marcus Stoinis,0,4
1421,77,2,2019-100mb00000000200-1283ad3244ba11,Devdutt Padikkal,2018-100mb00000000023-201fd633e99d11,55,13,19,4,38,20,10.6,4.5,Marcus Stoinis,0,5
1421,77,2,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,2019-100mb00000000200-1283ad3244ba11,55,38,20,4,13,19,10.6,4.5,Devdutt Padikkal,0,6
1421,77,2,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,2019-100mb00000000136-9313d156449c11,70,34,19,2,34,15,16.3,11.1,Nicholas Pooran,0,7
